Sample	Number_reads	Uniquely_mapping_reads	Mapped_to_multiple_loci	Mapped_to_too_many_loci	Unmapped_reads_too_short
H3-4	27140160	78.78%	2.99%	0.10%	17.65%
H3-7	25652728	76.82%	2.89%	0.09%	19.78%
H3-8	26085116	78.01%	3.32%	0.08%	18.20%
H4-2	27520617	77.08%	2.92%	0.11%	19.45%
H4-4	29130139	77.86%	2.57%	0.08%	19.12%
H4-7	26706294	77.71%	3.22%	0.09%	18.57%
H4-8	28123683	78.12%	2.94%	0.08%	18.48%
H5-2	11671742	79.94%	3.29%	0.12%	16.09%
R_fantastica_banded_4_M15_113_L2	24345399	73.27%	3.60%	0.01%	22.96%
R_fantastica_banded_4_M15_114_L2	14794391	72.08%	3.81%	0.01%	23.95%
R_fantastica_banded_4_M15_115_L2	21172266	72.14%	3.78%	0.01%	23.92%
R_fantastica_banded_5_M15_091_L2	14967543	73.39%	4.06%	0.02%	22.33%
R_fantastica_banded_5_M15_90_L5	19229770	67.45%	4.47%	0.02%	27.88%
R_fantastica_banded_5_M15_92_L5	21265122	65.60%	4.29%	0.02%	29.95%
R_fantastica_banded_7_M15_107_L6	11548787	69.30%	4.26%	0.02%	26.24%
R_fantastica_banded_7_M15_108_L2	20935349	73.46%	3.98%	0.01%	22.34%
R_fantastica_banded_7_M15_109_L2	20752320	74.12%	4.09%	0.02%	21.57%
R_fantastica_banded_8_M15_087_L2	26431209	72.20%	4.49%	0.01%	23.07%
R_fantastica_banded_8_M15_088_L2	39038724	71.71%	4.30%	0.02%	23.77%
R_fantastica_banded_8_M15_89_L6	18058713	70.42%	4.40%	0.02%	24.90%
R_fantastica_redheaded_1_M15_034_L7	20017863	71.45%	3.78%	0.01%	24.63%
R_fantastica_redheaded_1_M15_035_L7	17466597	70.92%	3.92%	0.01%	24.97%
R_fantastica_redheaded_1_M15_44_L5	19276089	70.51%	3.98%	0.01%	25.31%
R_fantastica_redheaded_2_M15_032_L7	18876772	71.74%	3.77%	0.01%	24.33%
R_fantastica_redheaded_2_M15_31_L6	19290793	69.13%	4.10%	0.01%	26.62%
R_fantastica_redheaded_2_M15_33_L5	18790697	66.76%	4.07%	0.02%	29.00%
R_fantastica_redheaded_4_M15_041_L2	20375252	71.64%	4.00%	0.01%	24.23%
R_fantastica_redheaded_4_M15_042_L7	21158828	71.66%	3.90%	0.01%	24.30%
R_fantastica_redheaded_4_M15_043_L7	15340246	73.41%	3.67%	0.01%	22.79%
R_fantastica_redheaded_5_M15_028_L2	18376955	71.44%	4.01%	0.01%	24.40%
R_fantastica_redheaded_5_M15_029_L2	18843776	72.79%	3.75%	0.01%	23.31%
R_fantastica_redheaded_5_M15_030_L2	22497328	73.44%	3.79%	0.01%	22.63%
R_fantastica_redheaded_7_M15_025_L7	20482778	70.56%	4.10%	0.01%	25.16%
R_fantastica_redheaded_7_M15_027_L6	16137087	68.83%	5.11%	0.02%	25.85%
R_fantastica_redheaded_7_M15_26_L6	25049366	68.05%	4.22%	0.01%	27.59%
R_fantastica_redheaded_8_M15_022_L7	19583908	67.90%	4.48%	0.01%	27.40%
R_fantastica_redheaded_8_M15_23_L6	16259801	67.48%	4.13%	0.01%	28.22%
R_fantastica_redheaded_8_M15_24_L5	21076688	65.80%	4.26%	0.01%	29.79%
R_variabilis_spotted_1_M16_143_L5	14813192	57.39%	4.52%	0.02%	37.93%
R_variabilis_spotted_1_M16_144_L7	16836661	72.33%	3.78%	0.01%	23.75%
R_variabilis_spotted_1_M16_145_L6	21217831	70.19%	3.93%	0.01%	25.73%
R_variabilis_spotted_2_M16_140_L7	23873543	71.63%	4.13%	0.01%	24.03%
R_variabilis_spotted_2_M16_141_L5	21399961	68.78%	4.73%	0.02%	26.26%
R_variabilis_spotted_2_M16_142_L6	17369347	67.43%	4.26%	0.02%	28.08%
R_variabilis_spotted_4_M16_032_L6	19003137	71.54%	4.08%	0.02%	24.17%
R_variabilis_spotted_4_M16_130_L7	19623824	73.90%	3.98%	0.01%	21.90%
R_variabilis_spotted_4_M16_131_L6	17119662	70.15%	4.19%	0.02%	25.44%
R_variabilis_spotted_5_M16_133_L7	18345912	72.18%	3.75%	0.01%	23.89%
R_variabilis_spotted_5_M16_134_L5	8989274	72.84%	4.06%	0.01%	22.84%
R_variabilis_spotted_5_M16_135_L5	16483987	71.47%	4.26%	0.02%	24.04%
R_variabilis_spotted_7_M16_136_L6	16698398	63.45%	4.41%	0.02%	31.94%
R_variabilis_spotted_7_M16_137_L6	6505984	62.44%	4.24%	0.03%	33.06%
R_variabilis_spotted_7_M16_138_L2	25922440	68.32%	4.43%	0.01%	27.07%
R_variabilis_spotted_8_M15_119_L6	17045301	69.94%	4.38%	0.02%	25.51%
R_variabilis_spotted_8_M15_120_L2	14249158	70.63%	4.15%	0.01%	25.04%
R_variabilis_spotted_8_M16_139_L7	22578760	72.75%	3.85%	0.01%	23.22%
R_variabilis_spotted_9_M15_116_L5	17832326	63.11%	4.26%	0.01%	32.46%
R_variabilis_spotted_9_M15_117_L7	16384482	70.41%	4.12%	0.02%	25.25%
R_variabilis_spotted_9_M15_118_L5	18172165	68.74%	4.13%	0.02%	26.95%
R_variabilis_striped_1_M15_142_L5	19458291	71.00%	4.02%	0.01%	24.80%
R_variabilis_striped_1_M15_143_L5	19233814	69.90%	3.83%	0.01%	26.08%
R_variabilis_striped_1_M15_144_L5	21355887	67.79%	4.66%	0.01%	27.41%
R_variabilis_striped_2_M15_093_L7	18556696	71.06%	3.70%	0.01%	25.10%
R_variabilis_striped_2_M15_141_L7	11259808	69.93%	4.63%	0.02%	25.14%
R_variabilis_striped_2_M15_166_L2	24387670	71.70%	3.89%	0.01%	24.23%
R_variabilis_striped_4_M15_110_L6	17767106	73.08%	3.91%	0.01%	22.81%
R_variabilis_striped_4_M15_111_L6	25938548	72.28%	3.81%	0.01%	23.72%
R_variabilis_striped_4_M15_81_L6	16664093	73.22%	3.93%	0.01%	22.63%
R_variabilis_striped_5_M15_77_L5	20392694	70.26%	3.83%	0.01%	25.74%
R_variabilis_striped_5_M15_85_L5	14197888	70.83%	4.09%	0.02%	24.87%
R_variabilis_striped_5_M15_86_L2	23044350	72.36%	4.06%	0.01%	23.37%
