Sample	Number_reads	Uniquely_mapping_reads	Mapped_to_multiple_loci	Mapped_to_too_many_loci	Unmapped_reads_too_short
H3-4.	27141133	79.24%	5.51%	1.21%	13.07%
H3-7.	25652728	76.80%	5.12%	1.10%	16.09%
H3-8.	26085933	78.25%	6.34%	1.24%	13.20%
H4-2.	27522029	77.65%	4.95%	1.12%	15.37%
H4-4.	29131645	76.32%	4.96%	1.06%	16.93%
H4-7.	26707566	77.20%	6.58%	1.29%	14.04%
H4-8.	28123928	77.82%	6.27%	1.08%	14.00%
H5-2.	11672950	80.50%	5.49%	1.93%	10.90%
R_fantastica_banded_4_M15_113_L2_	29194756	63.16%	6.20%	0.78%	29.52%
R_fantastica_banded_4_M15_114_L2_	19111038	59.94%	5.78%	0.71%	33.26%
R_fantastica_banded_4_M15_115_L2_	26679101	60.61%	5.91%	0.66%	32.50%
R_fantastica_banded_5_M15_091_L2_	18258020	63.14%	6.59%	0.90%	28.98%
R_fantastica_banded_5_M15_90_L5_	23583703	55.13%	6.73%	1.10%	36.56%
R_fantastica_banded_5_M15_92_L5_	25331208	55.65%	5.78%	0.61%	37.62%
R_fantastica_banded_7_M15_107_L6_	13981613	58.45%	5.85%	0.67%	34.61%
R_fantastica_banded_7_M15_108_L2_	25060078	64.16%	5.86%	0.58%	28.99%
R_fantastica_banded_7_M15_109_L2_	25102409	63.23%	7.73%	1.14%	27.50%
R_fantastica_banded_8_M15_087_L2_	30782595	60.13%	7.93%	1.35%	30.17%
R_fantastica_banded_8_M15_088_L2_	47867101	59.20%	6.42%	0.78%	33.17%
R_fantastica_banded_8_M15_89_L6_	24390389	55.01%	6.23%	0.82%	37.44%
R_fantastica_redheaded_1_M15_034_L7_	22609528	62.57%	6.77%	0.82%	29.56%
R_fantastica_redheaded_1_M15_035_L7_	21172973	60.29%	5.82%	0.67%	32.85%
R_fantastica_redheaded_1_M15_44_L5_	23588272	59.14%	5.80%	0.60%	34.07%
R_fantastica_redheaded_2_M15_032_L7_	22303015	62.51%	6.03%	0.69%	30.45%
R_fantastica_redheaded_2_M15_31_L6_	23796915	58.51%	5.47%	0.58%	35.12%
R_fantastica_redheaded_2_M15_33_L5_	24661165	54.59%	5.16%	0.58%	39.22%
R_fantastica_redheaded_4_M15_041_L2_	23306491	62.48%	6.94%	0.82%	29.48%
R_fantastica_redheaded_4_M15_042_L7_	25447424	61.05%	5.81%	0.57%	32.28%
R_fantastica_redheaded_4_M15_043_L7_	18251600	64.01%	6.37%	0.75%	28.60%
R_fantastica_redheaded_5_M15_028_L2_	21967973	61.16%	6.36%	0.63%	31.56%
R_fantastica_redheaded_5_M15_029_L2_	23547506	61.46%	6.35%	0.84%	31.07%
R_fantastica_redheaded_5_M15_030_L2_	26431869	64.13%	6.74%	0.84%	28.00%
R_fantastica_redheaded_7_M15_025_L7_	26174222	56.53%	6.11%	0.77%	36.26%
R_fantastica_redheaded_7_M15_027_L6_	21936507	49.86%	9.65%	2.38%	37.75%
