RIMI023986-RA	Protein of unknown function
RIMI023972-RA	CHST6 Carbohydrate sulfotransferase 6 (Homo sapiens)
RIMI023973-RA	Protein of unknown function
RIMI023969-RA	TAF1 Transcription initiation factor TFIID subunit 1 (Homo sapiens)
RIMI023970-RA	TAF1 Transcription initiation factor TFIID subunit 1 (Homo sapiens)
RIMI023971-RA	Taf1 Transcription initiation factor TFIID subunit 1 (Mus musculus)
maker-scaffold13372-snap-gene-0.0-mRNA-1	Protein of unknown function
RIMI023061-RA	Transposable element Tcb1 transposase (Caenorhabditis briggsae)
RIMI023062-RA	Protein of unknown function
RIMI023989-RA	Vmn2r26 Vomeronasal type-2 receptor 26 (Mus musculus)
maker-scaffold13376-snap-gene-0.0-mRNA-1	LINE-1 reverse transcriptase homolog (Nycticebus coucang)
RIMI023996-RA	Protein of unknown function
RIMI023990-RA	ARFGAP3 ADP-ribosylation factor GTPase-activating protein 3 (Macaca fascicularis)
RIMI023180-RA	Protein of unknown function
RIMI023181-RA	GNRHR2 Gonadotropin-releasing hormone II receptor (Callithrix jacchus)
RIMI023182-RA	rbm8a RNA-binding protein 8A (Xenopus tropicalis)
augustus-scaffold13400-processed-gene-0.76-mRNA-1	Protein of unknown function
RIMI023987-RA	sbk1 Serine/threonine-protein kinase SBK1 (Danio rerio)
RIMI023988-RA	Transposable element Tcb1 transposase (Caenorhabditis briggsae)
RIMI023984-RA	cyp2k1 Cytochrome P450 2K1 (Oncorhynchus mykiss)
RIMI023983-RA	cyp2k1 Cytochrome P450 2K1 (Oncorhynchus mykiss)
RIMI023974-RA	OR52R1 Olfactory receptor 52R1 (Homo sapiens)
RIMI023980-RA	PRSS56 Serine protease 56 (Homo sapiens)
RIMI023981-RA	Protein of unknown function
RIMI023979-RA	PRSS56 Serine protease 56 (Homo sapiens)
RIMI023975-RA	Protein of unknown function
RIMI023976-RA	cml Probable N-acetyltransferase camello (Xenopus tropicalis)
RIMI023977-RA	cml Probable N-acetyltransferase camello (Xenopus tropicalis)
RIMI023102-RA	Protein of unknown function
RIMI023101-RA	Protein of unknown function
RIMI024000-RA	Protein of unknown function
RIMI023999-RA	Protein of unknown function
RIMI023982-RA	Slc34a2 Sodium-dependent phosphate transport protein 2B (Rattus norvegicus)
RIMI023985-RA	RRP1 Ribosomal RNA processing protein 1 homolog A (Homo sapiens)
RIMI024016-RA	Bo17 Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase (Bovine herpesvirus 4)
RIMI023998-RA	Protein of unknown function
RIMI024013-RA	NPBWR2 Neuropeptides B/W receptor type 2 (Homo sapiens)
RIMI023991-RA	KCNK3 Potassium channel subfamily K member 3 (Homo sapiens)
maker-scaffold13412-augustus-gene-0.0-mRNA-1	Protein of unknown function
RIMI023995-RA	UPF2 Regulator of nonsense transcripts 2 (Homo sapiens)
RIMI024001-RA	insy1 Inhibitory synaptic factor 1 (Xenopus laevis)
RIMI023978-RA	Protein of unknown function
RIMI023992-RA	Cda Cytidine deaminase (Mus musculus)
RIMI023993-RA	AGMAT Agmatinase, mitochondrial (Gallus gallus)
RIMI023994-RA	DNAJC16 DnaJ homolog subfamily C member 16 (Pongo abelii)
RIMI023997-RA	ascl1 Achaete-scute homolog 1 (Xenopus laevis)
RIMI024014-RA	qtrt1 Queuine tRNA-ribosyltransferase catalytic subunit 1 (Xenopus tropicalis)
RIMI024015-RA	qtrt1 Queuine tRNA-ribosyltransferase catalytic subunit 1 (Xenopus tropicalis)
RIMI024004-RA	pptc7 Protein phosphatase PTC7 homolog (Xenopus laevis)
RIMI024021-RA	gpt2 Alanine aminotransferase 2 (Xenopus laevis)
RIMI024027-RA	Protein of unknown function
RIMI024003-RA	LINE-1 retrotransposable element ORF2 protein (Homo sapiens)
maker-scaffold13538-snap-gene-0.0-mRNA-1	Protein of unknown function
RIMI024007-RA	Protein of unknown function
RIMI024005-RA	TAS2R40 Taste receptor type 2 member 40 (Gallus gallus)
RIMI024020-RA	tf-b Serotransferrin-B (Xenopus laevis)
maker-scaffold13576-augustus-gene-0.31-mRNA-1	tf Serotransferrin (Xenopus tropicalis)
RIMI024002-RA	Rrm1 Ribonucleoside-diphosphate reductase large subunit (Mus musculus)
maker-scaffold13608-snap-gene-0.37-mRNA-1	Protein of unknown function
RIMI024022-RA	Protein of unknown function
RIMI024018-RA	MAST4 Microtubule-associated serine/threonine-protein kinase 4 (Homo sapiens)
RIMI024019-RA	Protein of unknown function
RIMI024008-RA	Kctd12 BTB/POZ domain-containing protein KCTD12 (Mus musculus)
RIMI024006-RA	Glutathione S-transferase 3 (Gallus gallus)
RIMI024056-RA	Protein of unknown function
RIMI024030-RA	Class II histocompatibility antigen, B-L beta chain (Fragment) (Gallus gallus)
RIMI024031-RA	HLA-DOB HLA class II histocompatibility antigen, DO beta chain (Homo sapiens)
RIMI024041-RA	scly Selenocysteine lyase (Xenopus tropicalis)
RIMI024039-RA	TM4SF5 Transmembrane 4 L6 family member 5 (Bos taurus)
maker-scaffold13675-pred_gff_snap-gene-0.30-mRNA-1	agtpbp1 Cytosolic carboxypeptidase 1 (Xenopus tropicalis)
RIMI024023-RA	agtpbp1 Cytosolic carboxypeptidase 1 (Xenopus tropicalis)
RIMI024051-RA	Klrg1 Killer cell lectin-like receptor subfamily G member 1 (Rattus norvegicus)
RIMI024036-RA	Protein of unknown function
RIMI024028-RA	RBMXL3 RNA-binding motif protein, X-linked-like-3 (Homo sapiens)
RIMI024024-RA	mcidas Multicilin (Xenopus tropicalis)
RIMI024025-RA	mcidas Multicilin (Xenopus laevis)
RIMI024026-RA	ccno-b Cyclin-O protein B (Xenopus laevis)
RIMI024048-RA	hnrnpc Heterogeneous nuclear ribonucleoprotein C (Xenopus laevis)
maker-scaffold13692-snap-gene-0.9-mRNA-1	Protein of unknown function
RIMI024042-RA	TY3B-I Transposon Ty3-I Gag-Pol polyprotein (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
RIMI024029-RA	KCNK5 Potassium channel subfamily K member 5 (Homo sapiens)
RIMI024040-RA	Protein of unknown function
maker-scaffold13752-snap-gene-0.0-mRNA-1	Protein of unknown function
RIMI024043-RA	Sidt1 SID1 transmembrane family member 1 (Mus musculus)
RIMI024037-RA	Adam28 Disintegrin and metalloproteinase domain-containing protein 28 (Mus musculus)
RIMI023562-RA	Protein of unknown function
RIMI023564-RA	Protein of unknown function
RIMI023563-RA	Protein of unknown function
RIMI024052-RA	AQPA Aquaporin FA-CHIP (Pelophylax esculentus)
RIMI024053-RA	AQPA Aquaporin FA-CHIP (Pelophylax esculentus)
RIMI024072-RA	FGFBP3 Fibroblast growth factor-binding protein 3 (Homo sapiens)
RIMI024078-RA	Protein of unknown function
RIMI024060-RA	aup1 Ancient ubiquitous protein 1 (Xenopus laevis)
RIMI024059-RA	Protein of unknown function
RIMI024058-RA	Protein of unknown function
RIMI024038-RA	Protein of unknown function
RIMI024009-RA	GON4L GON-4-like protein (Homo sapiens)
RIMI024010-RA	Protein of unknown function
RIMI024011-RA	GON4L GON-4-like protein (Homo sapiens)
RIMI024012-RA	Msto1 Protein misato homolog 1 (Mus musculus)
RIMI024071-RA	Ppa2 Inorganic pyrophosphatase 2, mitochondrial (Mus musculus)
RIMI023528-RA	Protein of unknown function
RIMI024049-RA	Protein of unknown function
RIMI024050-RA	Protein of unknown function
RIMI024054-RA	Protein of unknown function
RIMI024055-RA	Protein of unknown function
RIMI024070-RA	Protein of unknown function
RIMI024065-RA	Protein of unknown function
RIMI024066-RA	Protein of unknown function
RIMI024067-RA	Protein of unknown function
maker-scaffold13810-snap-gene-0.39-mRNA-1	Protein of unknown function
RIMI024068-RA	Protein of unknown function
RIMI024069-RA	Klf12 Krueppel-like factor 12 (Mus musculus)
RIMI024062-RA	pi4kb Phosphatidylinositol 4-kinase beta (Xenopus tropicalis)
RIMI024032-RA	Protein of unknown function
RIMI024033-RA	Protein of unknown function
RIMI024034-RA	POLI DNA polymerase iota (Homo sapiens)
RIMI024035-RA	POLI DNA polymerase iota (Homo sapiens)
RIMI024057-RA	Protein of unknown function
RIMI024046-RA	Protein of unknown function
RIMI024047-RA	Protein of unknown function
