Ranitomeya_imitator_029769-RA	protein of unknown function
Ranitomeya_imitator_029770-RA	protein of unknown function
Ranitomeya_imitator_029767-RA	trhde
Ranitomeya_imitator_029768-RA	protein of unknown function
Ranitomeya_imitator_043279-RA	zmiz2
Ranitomeya_imitator_049562-RA	protein of unknown function
Ranitomeya_imitator_049563-RA	protein of unknown function
Ranitomeya_imitator_033579-RA	protein of unknown function
Ranitomeya_imitator_036691-RA	msmb
Ranitomeya_imitator_036692-RA	frem1
Ranitomeya_imitator_036693-RA	protein of unknown function
Ranitomeya_imitator_036694-RA	protein of unknown function
Ranitomeya_imitator_036695-RA	frem1
Ranitomeya_imitator_036696-RA	frem1
Ranitomeya_imitator_036697-RA	frem1
Ranitomeya_imitator_031236-RA	protein of unknown function
Ranitomeya_imitator_028822-RA	nbas
Ranitomeya_imitator_028823-RA	nbas
Ranitomeya_imitator_028824-RA	nbas
Ranitomeya_imitator_028825-RA	protein of unknown function
Ranitomeya_imitator_042722-RA	protein of unknown function
Ranitomeya_imitator_032621-RA	protein of unknown function
Ranitomeya_imitator_032620-RA	hmcn1
Ranitomeya_imitator_032622-RA	kcnj3
Ranitomeya_imitator_035428-RA	cdo1
Ranitomeya_imitator_036648-RA	mecom-a
Ranitomeya_imitator_036649-RA	mecom
Ranitomeya_imitator_051306-RA	protein of unknown function
Ranitomeya_imitator_031062-RA	edil3
Ranitomeya_imitator_031059-RA	abhd2
Ranitomeya_imitator_031060-RA	protein of unknown function
Ranitomeya_imitator_031061-RA	protein of unknown function
Ranitomeya_imitator_049768-RA	protein of unknown function
Ranitomeya_imitator_049767-RA	stk_23830
Ranitomeya_imitator_049776-RA	protein of unknown function
Ranitomeya_imitator_027268-RA	protein of unknown function
Ranitomeya_imitator_027269-RA	zp1
Ranitomeya_imitator_027271-RA	cldnd1
Ranitomeya_imitator_027276-RA	rnf20
Ranitomeya_imitator_027270-RA	capg
Ranitomeya_imitator_027272-RA	ercc1
Ranitomeya_imitator_027273-RA	aldob
Ranitomeya_imitator_027275-RA	protein of unknown function
Ranitomeya_imitator_027274-RA	tmem246
Ranitomeya_imitator_030589-RA	protein of unknown function
Ranitomeya_imitator_030590-RA	upf0711
Ranitomeya_imitator_030588-RA	protein of unknown function
Ranitomeya_imitator_030591-RA	protein of unknown function
Ranitomeya_imitator_044651-RA	scrib
Ranitomeya_imitator_042831-RA	protein of unknown function
Ranitomeya_imitator_042832-RA	protein of unknown function
Ranitomeya_imitator_027564-RA	creg2
Ranitomeya_imitator_027565-RA	rnf149
Ranitomeya_imitator_027566-RA	tbc1d8
Ranitomeya_imitator_027567-RA	tbc1d8
Ranitomeya_imitator_027568-RA	tbc1d8
Ranitomeya_imitator_044710-RA	protein of unknown function
